"tenant","mRID_Outage","mRID_Equipment","actualPeriodStart","actualPeriodEnd","cause","isTrippedEquipment","modifiedTimeStamp","rowState"
"SCE","122186365-2032938603","1170478E:1170478E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1170478E:1170478E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1259322E:1259322E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1259322E:1259322E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1259322E:1259322E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1259326E:1259326E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1259326E:1259326E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1284438E:1284438E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1293780E:1293780E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1293780E:1293780E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","132820E:132820E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","132820E:132820E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","132820E:132820E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1400800E:1400800E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1400800E:1400800E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1617145E:1617145E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1617145E:1617145E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1617145E:1617145E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1663031E:1663031E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1663031E:1663031E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1828254E:1828254E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1828254E:1828254E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1828254E:1828254E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1938525E:1938525E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","1938525E:1938525E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2100272E:2100272E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2100272E:2100272E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2100272E:2100272E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2105095E:2105095E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2191588E:2191588E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2191588E:2191588E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2191588E:2191588E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2191660E:2191660E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2191660E:2191660E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2229673E:2229673E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2229780E:2229780E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2229780E:2229780E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2229780E:2229780E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2229782E:2229782E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2270102E:2270102E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2270102E:2270102E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","2321314E:2321314E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","275875E:275875E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4101T:4101T",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4210553E:4210553E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4226176E:4226176E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4226176E:4226176E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4226176E:4226176E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4226981E:4226981E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4226981E:4226981E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4226981E:4226981E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4232396E:4232396E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4242796E:4242796E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4242796E:4242796E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4242796E:4242796E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4266380E:4266380E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4266380E:4266380E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4266380E:4266380E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4293022E:4293022E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4293022E:4293022E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4293022E:4293022E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4541495E:4541495E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4541495E:4541495E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4541495E:4541495E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4661160E:4661160E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4661160E:4661160E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4661160E:4661160E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4677824E:4677824E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4677824E:4677824E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4677824E:4677824E.2",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4677825E:4677825E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4679358E:4679358E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4679358E:4679358E.1",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
"SCE","122186365-2032938603","4691399E:4691399E",2020-01-01T00:01:00.000+00:00,2020-01-01T00:06:00.000+00:00,,false,2020-08-11T13:45:38.000+00:00,"I"
